0,1,2,3,4,5,6,7
9,R 84 950,R 1 683 p/m,2012 Chevrolet Spark Lite 1.0 LS,Used Car127 249 kmManual,AUTO INVESTMENTS (PTY) LTD,"Vanderbijlpark CW 1, Vanderbijlpark",km from you?
12,R 84 900,R 1 682 p/m,2012 Volkswagen Polo Vivo 5-Door 1.4,Used Car191 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
18,R 84 900,R 1 682 p/m,2012 Chevrolet Sonic Hatch 1.6 LS,Used Car144 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
16,R 84 900,R 1 682 p/m,2011 Volvo S60 D3 Auto,Used Car169 000 kmAutomatic,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
11,R 84 900,R 1 682 p/m,2011 Renault Twingo 1.2 Dynamique Plus,Used Car159 985 kmManual,AUTOCITY NIGEL,"Glenvarloch, Nigel",km from you?
15,R 84 900,R 1 682 p/m,2011 Chevrolet Cruze 1.6 LS,Used Car123 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
2,R 84 900,R 1 682 p/m,2012 Ford Figo 1.4 Ambiente,Used Car150 500 kmManual,HALFWAY TOYOTA FOURWAYS,"Fourways, Sandton",km from you?
13,R 81 900,R 1 623 p/m,2012 Mahindra XUV500 2.2CRDe W6,Used Car366 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
14,R 81 900,R 1 623 p/m,2010 MINI Hatch Cooper,Used Car186 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
17,R 81 900,R 1 623 p/m,2014 Mitsubishi Mirage 1.2 GL,Used Car102 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
7,R 80 000,R 1 585 p/m,2012 Renault Laguna Coupe V6,Used Car226 017 kmAutomatic,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
9,R 79 999,R 1 585 p/m,2012 Volkswagen Polo Vivo Sedan 1.4 Trendline,Used Car370 000 kmManual,ANDRE AND SON MOTORS CC,"Rhodesfield, Kempton Park",km from you?
13,R 79 900,R 1 583 p/m,2011 Ford Ranger 2.2,Used Car264 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
17,R 79 900,R 1 583 p/m,2011 Hyundai i30 1.6 GLS,Used Car247 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
16,R 79 900,R 1 583 p/m,2014 Ford Figo 1.4 Ambiente,Used Car157 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
