Total price,Montly installment,Year.Car.Model,Used.Transmission,Seller Name,Seller location,transmission,milage (Thousands),year,manufacturer,model,extra
79000.0,1565.0,2012 Ford Fiesta 5-door 1.4 Ambiente,Used Car99 000 kmManual,JODES MOTORS,"Allen Grove, Kempton Park",Manual,99.0,2012,Ford,Fiesta,"['5-door', '1.4', 'Ambiente']"
79000.0,1565.0,2012 Ford Ikon 1.6 Trend,Used Car120 000 kmManual,JODES MOTORS,"Allen Grove, Kempton Park",Manual,120.0,2012,Ford,Ikon,"['1.6', 'Trend']"
79000.0,1565.0,2017 Datsun Go+ 1.2 Lux,Used Car78 000 kmManual,WIZ LINK,"Kempton Park Central, Kempton Park",Manual,78.0,2017,Datsun,Go+,"['1.2', 'Lux']"
79000.0,1565.0,2014 Ford Figo 1.4 Ambiente,Used Car90 000 kmManual,JODES MOTORS,"Allen Grove, Kempton Park",Manual,90.0,2014,Ford,Figo,"['1.4', 'Ambiente']"
79000.0,1565.0,2016 Datsun Go 1.2 Lux,Used Car82 000 kmManual,NOLLY MOTORS,"Glen Marais, Kempton Park",Manual,82.0,2016,Datsun,Go,"['1.2', 'Lux']"
78000.0,1545.0,2012 Ford Ikon 1.6 Ambiente,Used Car94 000 kmManual,ST CARS DEALERSHIP,"Kensington, Johannesburg",Manual,94.0,2012,Ford,Ikon,"['1.6', 'Ambiente']"
78000.0,1545.0,2014 Hyundai i10 1.1 GLS,Used Car90 000 kmManual,NOLLY MOTORS,"Glen Marais, Kempton Park",Manual,90.0,2014,Hyundai,i10,"['1.1', 'GLS']"
78000.0,1545.0,2018 Datsun Go 1.2 Lux,Used Car66 000 kmManual,J MAN CARS,"Maboneng, Johannesburg",Manual,66.0,2018,Datsun,Go,"['1.2', 'Lux']"
78000.0,1545.0,2012 Chevrolet Cruze Sedan 1.6 L,Used Car88 000 kmManual,J MAN CARS,"Maboneng, Johannesburg",Manual,88.0,2012,Chevrolet,Cruze,"['Sedan', '1.6', 'L']"
78000.0,1545.0,2014 Hyundai i10 1.25 Glide,Used Car104 000 kmManual,TONY MOTORS,"Rhodesfield, Kempton Park",Manual,104.0,2014,Hyundai,i10,"['1.25', 'Glide']"
78000.0,1545.0,2015 Datsun Go 1.2 Lux,Used Car75 000 kmManual,CITY RIDE MY CARS,"Driehoek, Germiston",Manual,75.0,2015,Datsun,Go,"['1.2', 'Lux']"
77900.0,1543.0,2015 Renault Sandero 66kW Turbo Dynamique,Used Car169 000 kmManual,RIGHT CARS,"North Riding, Randburg",Manual,169.0,2015,Renault,Sandero,"['66kW', 'Turbo', 'Dynamique']"
77000.0,1525.0,2015 Kia Picanto 1.0 LX,Used Car77 000 kmManual,OKOH MOTORS,"Marshalltown, Johannesburg",Manual,77.0,2015,Kia,Picanto,"['1.0', 'LX']"
77000.0,1525.0,2012 Volkswagen Polo Vivo 5-Door 1.4,Used Car189 000 kmManual,NICK AUTO,"Glen Marais, Kempton Park",Manual,189.0,2012,Volkswagen,Polo,"['Vivo', '5-Door', '1.4']"
77000.0,1525.0,2012 Hyundai i10 1.1 GLS,Used Car105 000 kmManual,JAY JAY MOTORS,"Rhodesfield, Kempton Park",Manual,105.0,2012,Hyundai,i10,"['1.1', 'GLS']"
76999.0,1525.0,2015 Kia Picanto 1.0 LX,Used Car77 000 kmManual,H M AUTOS,"Selby, Johannesburg",Manual,77.0,2015,Kia,Picanto,"['1.0', 'LX']"
76000.0,1506.0,2013 Ford Figo 1.4 Ambiente,Used Car74 000 kmManual,EAGLE CARS,"Bezuidenhout Valley, Johannesburg",Manual,74.0,2013,Ford,Figo,"['1.4', 'Ambiente']"
75999.0,1506.0,2015 Nissan NP200 1.6 16v Mid,Used Car98 000 kmManual,TJ AUTO,"Bramley, Johannesburg",Manual,98.0,2015,Nissan,NP200,"['1.6', '16v', 'Mid']"
75995.0,1506.0,2013 Renault Sandero 1.6 Expression,Used Car102 000 kmManual,DE REV AUTOS,"Kew Industrial, Johannesburg",Manual,102.0,2013,Renault,Sandero,"['1.6', 'Expression']"
