Total price,Montly installment,Year.Car.Model,Used.Transmission,Seller Name,Seller location,transmission,milage (Thousands),year,manufacturer,model,extra
99900.0,1979.0,2016 Nissan Almera 1.5 Acenta,Used Car115 000 kmManual,RANDPARK AUTO,"Randpark Ridge, Randburg",Manual,115.0,2016,Nissan,Almera,"['1.5', 'Acenta']"
99900.0,1979.0,2014 Chevrolet Spark 1.2 LS,Used Car104 000 kmManual,DIA MOTORS,"Krugersdorp North, Krugersdorp",Manual,104.0,2014,Chevrolet,Spark,"['1.2', 'LS']"
99900.0,1979.0,2012 Ford Focus 1.8 Sedan Ambiente,Used Car140 000 kmManual,BLACK IMPALA EXCLUSIVE AUTO,"Pretoria North, Pretoria",Manual,140.0,2012,Ford,Focus,"['1.8', 'Sedan', 'Ambiente']"
99900.0,1979.0,2007 Opel Corsa Utility 1.4 Club,Used Car240 000 kmManual,BLACK IMPALA EXCLUSIVE AUTO,"Pretoria North, Pretoria",Manual,240.0,2007,Opel,Corsa,"['Utility', '1.4', 'Club']"
99900.0,1979.0,2015 Nissan NP200 1.5dCi Safety Pack,Used Car245 000 kmManual,CALLABEE AUTOMOTIVE,"Little Falls, Roodepoort",Manual,245.0,2015,Nissan,NP200,"['1.5dCi', 'Safety', 'Pack']"
99900.0,1979.0,2011 Hyundai i20 1.4 GL,Used Car203 000 kmManual,HIGHLINE AUTO,"Vereeniging Central, Vereeniging",Manual,203.0,2011,Hyundai,i20,"['1.4', 'GL']"
99900.0,1979.0,2018 Nissan NP200 1.6 16v S,Used Car96 000 kmManual,OZ MOTORS,"City & Suburban, Johannesburg",Manual,96.0,2018,Nissan,NP200,"['1.6', '16v', 'S']"
99900.0,1979.0,2015 Volkswagen Polo Vivo 5-Door 1.4 Blueline,Used Car79 000 kmManual,OZ MOTORS,"City & Suburban, Johannesburg",Manual,79.0,2015,Volkswagen,Polo,"['Vivo', '5-Door', '1.4', 'Blueline']"
99900.0,1979.0,2010 Toyota Corolla 1.3 Professional,Used Car100 000 kmManual,OZ MOTORS,"City & Suburban, Johannesburg",Manual,100.0,2010,Toyota,Corolla,"['1.3', 'Professional']"
99900.0,1979.0,2013 Toyota Etios Sedan 1.5 Xs,Used Car86 000 kmManual,OZ MOTORS,"City & Suburban, Johannesburg",Manual,86.0,2013,Toyota,Etios,"['Sedan', '1.5', 'Xs']"
99900.0,1979.0,2009 Toyota Corolla 1.8 Exclusive auto,Used Car91 000 kmAutomatic,OZ MOTORS,"City & Suburban, Johannesburg",Automatic,91.0,2009,Toyota,Corolla,"['1.8', 'Exclusive', 'auto']"
99900.0,1979.0,2017 Volkswagen Polo Vivo HATCH 1.4 CONCEPTLINE,Used Car56 000 kmManual,OZ MOTORS,"City & Suburban, Johannesburg",Manual,56.0,2017,Volkswagen,Polo,"['Vivo', 'HATCH', '1.4', 'CONCEPTLINE']"
